

 SOLUTION AT ALPHA =    0.00000

    J    X(J)      Y(J)      CP(J)      UE(J)

    1   0.99803  -0.00028   0.35947   0.80033
    2   0.99360  -0.00093   0.28409   0.84611
    3   0.98772  -0.00178   0.23566   0.87427
    4   0.97991  -0.00289   0.19702   0.89609
    5   0.97020  -0.00427   0.16293   0.91492
    6   0.95864  -0.00589   0.13213   0.93160
    7   0.94527  -0.00773   0.10498   0.94606
    8   0.93015  -0.00977   0.08032   0.95900
    9   0.91332  -0.01201   0.05675   0.97121
   10   0.89487  -0.01441   0.03489   0.98240
   11   0.87485  -0.01695   0.01408   0.99293
   12   0.85335  -0.01963  -0.00603   1.00301
   13   0.83046  -0.02239  -0.02569   1.01276
   14   0.80627  -0.02524  -0.04424   1.02188
   15   0.78087  -0.02813  -0.06315   1.03109
   16   0.75436  -0.03104  -0.08212   1.04025
   17   0.72685  -0.03392  -0.09851   1.04810
   18   0.69843  -0.03677  -0.11417   1.05554
   19   0.66923  -0.03955  -0.13014   1.06308
   20   0.63937  -0.04225  -0.14556   1.07031
   21   0.60896  -0.04487  -0.16177   1.07785
   22   0.57812  -0.04737  -0.17858   1.08562
   23   0.54697  -0.04972  -0.19585   1.09355
   24   0.51563  -0.05190  -0.21265   1.10120
   25   0.49121  -0.05347  -0.22730   1.10784
   26   0.47377  -0.05450  -0.23702   1.11222
   27   0.45636  -0.05546  -0.24714   1.11675
   28   0.43900  -0.05635  -0.25728   1.12128
   29   0.42172  -0.05714  -0.26709   1.12565
   30   0.40454  -0.05785  -0.27684   1.12997
   31   0.38747  -0.05846  -0.28694   1.13443
   32   0.37054  -0.05898  -0.29690   1.13882
   33   0.35376  -0.05940  -0.30660   1.14307
   34   0.33717  -0.05971  -0.31611   1.14722
   35   0.32077  -0.05991  -0.32517   1.15116
   36   0.30458  -0.06000  -0.33422   1.15508
   37   0.28864  -0.05997  -0.34338   1.15904
   38   0.27296  -0.05983  -0.35217   1.16283
   39   0.25756  -0.05957  -0.36051   1.16641
   40   0.24245  -0.05919  -0.36800   1.16962
   41   0.22765  -0.05868  -0.37542   1.17278
   42   0.21319  -0.05806  -0.38265   1.17586
   43   0.19907  -0.05730  -0.38876   1.17846
   44   0.18532  -0.05642  -0.39397   1.18067
   45   0.17195  -0.05542  -0.39871   1.18267
   46   0.15898  -0.05430  -0.40351   1.18470
   47   0.14643  -0.05307  -0.40762   1.18643
   48   0.13431  -0.05170  -0.40998   1.18743
   49   0.12264  -0.05022  -0.41073   1.18774
   50   0.11142  -0.04863  -0.41013   1.18749
   51   0.10068  -0.04692  -0.40884   1.18694
   52   0.09043  -0.04510  -0.40490   1.18528
   53   0.08067  -0.04318  -0.39888   1.18274
   54   0.07143  -0.04117  -0.39144   1.17959
   55   0.06271  -0.03905  -0.38111   1.17521
   56   0.05452  -0.03685  -0.36638   1.16892
   57   0.04687  -0.03455  -0.34614   1.16023
   58   0.03977  -0.03216  -0.31971   1.14878
   59   0.03324  -0.02970  -0.28262   1.13253
   60   0.02922  -0.02806  -0.27053   1.12718
   61   0.02745  -0.02728  -0.25499   1.12026
   62   0.02573  -0.02649  -0.23945   1.11331
   63   0.02406  -0.02569  -0.22269   1.10575
   64   0.02245  -0.02489  -0.20452   1.09751
   65   0.02090  -0.02408  -0.18530   1.08872
   66   0.01939  -0.02326  -0.16310   1.07847
   67   0.01795  -0.02244  -0.13948   1.06746
   68   0.01656  -0.02161  -0.11485   1.05587
   69   0.01522  -0.02077  -0.08692   1.04255
   70   0.01394  -0.01993  -0.05695   1.02808
   71   0.01272  -0.01909  -0.02403   1.01194
   72   0.01155  -0.01824   0.01153   0.99422
   73   0.01044  -0.01738   0.04980   0.97478
   74   0.00938  -0.01652   0.09161   0.95309
   75   0.00838  -0.01565   0.13653   0.92923
   76   0.00744  -0.01477   0.18541   0.90254
   77   0.00655  -0.01390   0.23776   0.87307
   78   0.00571  -0.01301   0.29253   0.84112
   79   0.00494  -0.01212   0.35086   0.80569
   80   0.00421  -0.01123   0.40953   0.76842
   81   0.00355  -0.01033   0.47252   0.72628
   82   0.00294  -0.00943   0.53777   0.67988
   83   0.00239  -0.00852   0.60463   0.62879
   84   0.00190  -0.00761   0.67051   0.57401
   85   0.00146  -0.00669   0.73514   0.51464
   86   0.00108  -0.00577   0.79601   0.45165
   87   0.00076  -0.00484   0.85211   0.38456
   88   0.00050  -0.00391   0.90079   0.31498
   89   0.00029  -0.00297   0.94160   0.24166
   90   0.00014  -0.00203   0.97200   0.16734
   91   0.00005  -0.00110   0.99153   0.09203
   92   0.00001   0.00000   1.00000   0.00001
   93   0.00005   0.00110   0.99153   0.09201
   94   0.00014   0.00203   0.97200   0.16733
   95   0.00029   0.00297   0.94161   0.24164
   96   0.00050   0.00391   0.90080   0.31496
   97   0.00076   0.00484   0.85213   0.38455
   98   0.00108   0.00577   0.79603   0.45163
   99   0.00146   0.00669   0.73516   0.51463
  100   0.00190   0.00761   0.67052   0.57400
  101   0.00239   0.00852   0.60464   0.62878
  102   0.00294   0.00943   0.53778   0.67987
  103   0.00355   0.01033   0.47253   0.72627
  104   0.00421   0.01123   0.40954   0.76841
  105   0.00494   0.01212   0.35087   0.80568
  106   0.00571   0.01301   0.29254   0.84111
